ID_product;Product Name;Category;ID_supplier;Supplier;Origin Country;Expiration date;Price
111;Gala Apple;Fruits;1199;Fresh Farms Ltd.;USA;15.08.2023;0,52
112;Banana;Fruits;1200;Tropicana Suppliers;Ecuador;16.08.2023;0,37
113;Carrot;Vegetables;1201;Green Valley Organics;Netherlands;18.08.2023;0,41
114;Chicken Breast;Meat;1202;Prime Meats Co.;USA;17.08.2023;0,91
115;Almond Milk;Beverages;1203;NutriLife Foods;USA;21.08.2023;0,44
116;Whole Grain Quinoa;Grains;1204;Organic Grains Co.;Peru;20.08.2023;0,48
117;Cheddar Cheese;Dairy;1205;Dairyland Ltd.;UK;19.08.2023;0,53
118;Tomato;Vegetables;1206;Farm Fresh Inc.;Spain;18.08.2023;0,45
119;Basmati Rice;Grains;1207;Asian Foods;India;23.08.2023;0,65
120;Orange Juice;Beverages;1208;Citrus Groves;Brazil;25.08.2023;0,59
121;Blueberries;Fruits;1209;BerryBest Farms;Canada;24.08.2023;0,63
122;Salmon Fillet;Fish;1210;Ocean Fresh Co.;Norway;22.08.2023;0,99
123;Broccoli;Vegetables;1211;Veggie Delight;Italy;27.08.2023;0,27
124;Whole Wheat Bread;Bakery;1212;Baker's Choice;Germany;30.08.2023;0,8
125;Greek Yogurt;Dairy;1213;Mediterranean Dairy;Greece;28.08.2023;0,47
126;Olive Oil;Oil;1214;Golden Harvest;Spain;29.08.2023;0,34
127;Avocado;Fruits;1215;Tropico Harvest;Mexico;24.08.2023;0,22
128;Pasta Fusilli;Grains;1216;Italian Pasta Co.;Italy;25.08.2023;0,46
129;Ground Beef;Meat;1217;Meat Lovers Inc.;Australia;21.08.2023;0,9
130;Mozzarella Cheese;Dairy;1218;Cheese World;Italy;19.08.2023;0,91
131;Spinach;Vegetables;1219;Leafy Greens Ltd.;USA;23.08.2023;0,75
132;Oat Milk;Beverages;1220;Healthy Drinks Co.;Sweden;20.08.2023;0,12
133;Pineapple;Fruits;1221;Tropical Harvesters;Costa Rica;27.08.2023;0,5
134;Butter;Dairy;1222;Creamery Co.;France;18.08.2023;0,25
135;Chickpeas;Grains;1223;Legume World;Turkey;26.08.2023;0,02
136;Cucumber;Vegetables;1224;Veggie Fresh Co.;Netherlands;25.08.2023;0,12
